accommodates,bathrooms,bedrooms,price,cleaning_fee,security_deposit,extra_people,guests_included,distance,size,host_has_profile_pic,room_type,bed_type,minimum_nights,instant_bookable,is_business_travel_ready,cancellation_policy,Laptop_friendly_workspace,TV,Family_kid_friendly,Host_greets_you,Smoking_allowed
4,1.0,2.0,52.0,20.0,300.0,10.0,2,8.492238816643123,20.0,t,Private room,Real Bed,2,f,f,strict_14_with_grace_period,False,False,True,False,False
2,1.0,1.0,125.0,45.0,200.0,0.0,1,3.951948292378935,200.0,t,Entire home/apt,Real Bed,5,t,f,strict_14_with_grace_period,False,True,False,False,False
2,1.0,1.0,30.0,20.0,0.0,0.0,1,3.748694983297512,45.749963267618504,t,Private room,Real Bed,5,t,f,moderate,True,False,False,True,False
2,1.0,1.0,25.0,0.0,0.0,10.0,1,5.062517838977687,18.0,t,Private room,Real Bed,14,f,f,moderate,True,False,True,False,False
2,1.0,1.0,54.0,0.0,0.0,9.0,1,3.1842168476783685,55.05517338298229,t,Private room,Real Bed,1,f,f,flexible,False,True,False,True,False
4,1.0,2.0,35.0,0.0,0.0,0.0,1,4.604426851732566,48.366091156352,t,Entire home/apt,Real Bed,4,t,f,strict_14_with_grace_period,False,False,False,False,False
2,1.0,1.0,40.0,30.0,0.0,0.0,1,1.7064629671614218,10.0,t,Private room,Real Bed,1,f,f,moderate,True,False,False,True,False
4,1.0,2.0,80.0,0.0,0.0,0.0,1,1.0818944717424557,100.0,t,Private room,Real Bed,3,t,f,flexible,False,True,False,False,True
2,1.0,1.0,30.0,18.0,0.0,20.0,1,1.1266992579668165,56.115401774464026,t,Private room,Real Bed,2,f,f,moderate,False,False,False,True,True
2,1.0,0.0,100.0,55.0,800.0,0.0,1,4.137007790837639,75.1553341788412,t,Entire home/apt,Real Bed,4,t,f,strict_14_with_grace_period,True,True,True,False,False
3,1.5,1.0,17.0,5.0,0.0,10.0,1,8.196993214706499,12.0,t,Private room,Real Bed,1,f,f,flexible,True,False,True,False,False
2,1.0,1.0,25.0,0.0,0.0,0.0,1,2.684457245691712,10.0,t,Private room,Real Bed,6,t,f,flexible,False,False,False,False,True
3,1.0,1.0,89.0,45.0,1500.0,50.0,2,1.721413834700012,99.15890909442341,t,Entire home/apt,Real Bed,4,t,f,strict_14_with_grace_period,True,False,True,True,False
2,1.0,1.0,24.0,0.0,100.0,10.0,1,3.921528444997208,46.10572371398307,t,Private room,Real Bed,5,t,f,moderate,True,False,True,False,False
2,1.0,1.0,70.0,18.0,0.0,20.0,2,4.422257459827557,66.84587977121221,t,Entire home/apt,Real Bed,1,f,f,moderate,True,False,True,False,False
4,1.0,1.0,65.0,50.0,500.0,0.0,1,2.200622357730506,50.0,t,Entire home/apt,Real Bed,60,f,f,strict_14_with_grace_period,True,True,True,True,False
2,1.0,1.0,22.0,0.0,0.0,10.0,1,4.062515096098808,45.076212801350295,t,Private room,Real Bed,2,t,f,strict_14_with_grace_period,True,False,False,False,False
2,1.0,1.0,50.0,20.0,300.0,0.0,1,3.1247615975771135,53.33246038153722,t,Entire home/apt,Real Bed,6,f,f,moderate,True,False,False,False,False
3,1.0,1.0,26.0,0.0,100.0,10.0,1,2.8660563021823977,49.27837146775563,t,Private room,Real Bed,1,f,f,flexible,True,False,False,False,False
2,1.0,1.0,40.0,0.0,0.0,0.0,1,4.392308801364999,67.0,t,Private room,Real Bed,5,f,f,moderate,True,False,False,True,False
2,1.0,1.0,35.0,10.0,100.0,10.0,1,6.355696947960722,10.0,t,Private room,Real Bed,100,t,f,moderate,True,True,False,True,False
2,1.0,1.0,40.0,0.0,0.0,0.0,1,3.2559317035650635,46.34134419144318,t,Private room,Real Bed,2,t,f,flexible,True,False,True,False,True
3,1.0,1.0,75.0,20.0,500.0,10.0,2,10.238040119727199,20.0,t,Entire home/apt,Real Bed,5,f,f,moderate,False,True,True,True,False
2,2.0,1.0,25.0,25.0,0.0,5.0,2,6.702685421960534,56.43815020732218,t,Private room,Real Bed,2,f,f,moderate,True,False,True,False,False
4,0.5,2.0,70.0,40.0,250.0,19.0,2,2.1463340991313062,300.0,t,Entire home/apt,Real Bed,3,t,f,strict_14_with_grace_period,True,True,True,False,False
2,1.0,1.0,70.0,25.0,0.0,10.0,1,4.115174264664093,20.0,t,Entire home/apt,Real Bed,3,f,f,flexible,True,True,False,False,False
5,1.0,1.0,32.0,37.0,108.0,10.0,2,6.074015362446219,48.0,t,Entire home/apt,Real Bed,1,t,f,super_strict_30,True,True,False,False,False
1,1.0,1.0,80.0,25.0,0.0,0.0,1,5.772364817639932,59.21621364820609,t,Private room,Real Bed,1,t,f,moderate,True,False,False,True,False
1,1.0,1.0,47.0,0.0,0.0,0.0,1,2.7684980376396418,46.67238745173708,t,Private room,Real Bed,2,f,f,moderate,True,True,False,False,False
2,1.0,1.0,30.0,15.0,0.0,8.0,1,3.5836753609946923,90.0,t,Private room,Real Bed,4,t,f,strict_14_with_grace_period,True,True,True,True,False
4,1.0,2.0,90.0,40.0,0.0,0.0,1,3.5204440521792235,71.68986005794477,t,Entire home/apt,Real Bed,2,f,f,strict_14_with_grace_period,True,False,True,True,True
2,1.0,1.0,55.0,25.0,150.0,0.0,1,3.1312551620878923,55.08798028205246,t,Private room,Real Bed,3,f,f,moderate,True,False,False,False,False
2,1.0,1.0,31.0,25.0,100.0,15.0,1,2.1138014598574943,54.933696931193275,t,Private room,Real Bed,4,f,f,flexible,False,True,False,False,False
2,1.0,2.0,44.0,80.0,900.0,0.0,1,7.187387028201577,60.037388974275046,t,Entire home/apt,Real Bed,20,f,f,strict_14_with_grace_period,True,True,False,True,False
2,1.5,3.0,50.0,10.0,0.0,0.0,1,1.279671834435068,10.0,t,Private room,Real Bed,1,f,f,flexible,False,False,False,False,True
11,2.0,5.0,240.0,50.0,200.0,25.0,6,6.131133169789472,180.0,t,Entire home/apt,Real Bed,2,t,f,flexible,True,True,True,True,False
2,1.0,0.0,60.0,20.0,100.0,10.0,1,2.7906948935010294,15.0,t,Entire home/apt,Pull-out Sofa,3,f,f,flexible,False,False,True,False,True
2,1.5,1.0,75.0,10.0,0.0,20.0,2,3.3605020799331418,10.0,t,Entire home/apt,Real Bed,3,f,f,moderate,False,True,False,False,False
3,1.0,2.0,60.0,50.0,500.0,10.0,2,1.9149011384799464,68.26426424574697,t,Entire home/apt,Real Bed,4,f,f,strict_14_with_grace_period,True,True,False,True,False
